brand,product_name,barcode,image_url,category
,Cantu Shea Butter (Grow Strong Strengthening Treatment) 173g,,,Hair & Beauty Products
,Cantu Shea Butter (Leave-In Conditioning Repair Cream) 453g,,,Hair & Beauty Products
,Cantu Shea Butter (Moisturising Twist & Lock Gel) 370g,,,Hair & Beauty Products
,Cantu Shea Butter (Smoothing Leave-In Conditioning Lotion) 284g,,,Hair & Beauty Products
,Cantu Shea Butter (Thermal Shield Heat Protectant) 151ml,,,Hair & Beauty Products
,Cantu Shea Butter Coconut Curling Cream 12 oz,,https://duudafricanfoods.com/wp-content/uploads/2021/11/yhst-88462588038071_2613_19923664855.png,Hair & Beauty Products
,Cantu Shea Butter Coconut Milk Shine & Hold Mist 8 oz,,,Hair & Beauty Products
,Cantu Shea Butter Complete Conditioning Co-Wash 10 oz,,,Hair & Beauty Products
,Cantu Shea Butter for Natural Hair (Coconut Oil Shine & Hold) 237ml,,,Hair & Beauty Products
,Cantu Shea Butter Grow Strong Treatment 6.1 oz,,,Hair & Beauty Products
,Cantu Shea Butter Moistening Twist & Lock Gel 13 oz,,,Hair & Beauty Products
,Cantu Shea Butter Oil Sheen 283g,,,Hair & Beauty Products
,Cantu Shea Butter Super Shine Hair 6 oz,,,Hair & Beauty Products
,Cantu Shea Butter with Honey 18.5 oz,,,Hair & Beauty Products
,Cantu Shea Coil Calm Detangler 8 oz,,,Hair & Beauty Products
Tropical Sun,Caribbean Curry Paste,5029788182024,,Uncategorized
Tropical Sun,Caribbean Peas & Beans,5029788602195,https://images.openfoodfacts.org/images/products/502/978/860/2195/front_en.3.400.jpg,Beans & Legumes
Tropical Sun,Carolina reaper hot sauce,5029788192979,https://images.openfoodfacts.org/images/products/502/978/819/2979/front_en.3.400.jpg,Uncategorized
,Cashew Nuts – 464grms,,,Uncategorized
Unbranded,Cassava Flour 1 kg,,,Flour & Starches
,Cassava flour 1kg,,https://duudafricanfoods.com/shop/cassava-flour-1kg/,Flour & Starches
,Catfish Fillet Sachet 100grms,,,Meat/Seafood & Poultry
Grace,Chicken Frankfurters,0055270853931,https://images.openfoodfacts.org/images/products/005/527/085/3931/front_fr.3.400.jpg,Meat/Seafood & Poultry
,Chicken Gizzard 1kg,,,Meat/Seafood & Poultry
Tropical Sun,Chicken seasoning,5029788603673,https://images.openfoodfacts.org/images/products/502/978/860/3673/front_fr.3.400.jpg,Meat/Seafood & Poultry
,Chicken Seasoning Cubes – 50 Cubes,,,Meat/Seafood & Poultry
Tropical Sun,Chicken Stock Cubes,5029788193129,,Meat/Seafood & Poultry
,Clear Essence Complexion Soap with AHA 150g,,,Hair & Beauty Products
,Clear Essence Lemon Plus Vitamin C Body Scrub Bar Soap 150g,,,Hair & Beauty Products
,Clere Pure Glycerine 200 ml,,,Hair & Beauty Products
,Close Up Toothpaste,,,Toiletries & Personal Care
,Coconut,,,Produce (Fresh/Frozen)
,Coconut Chips Candy,,,Snacks & Confectionery
Tropical Sun,Coconut milk,5029788175347,https://images.openfoodfacts.org/images/products/502/978/817/5347/front_en.3.400.jpg,Produce (Fresh/Frozen)
,Coconut oil,,,Hair & Beauty Products
Grace,Coconut water,10350635,https://images.openfoodfacts.org/images/products/000/001/035/0635/front_fr.3.400.jpg,Produce (Fresh/Frozen)
Tropical Sun,Coconut water drink,5029788178911,https://images.openfoodfacts.org/images/products/502/978/817/8911/front_fr.3.400.jpg,Drinks
Grace,Coconut Water Juice Drink with Real Coconut Pieces,5035139207254,https://images.openfoodfacts.org/images/products/503/513/920/7254/front_fr.14.400.jpg,Drinks
Grace,Coconut water mango,5035139218205,https://images.openfoodfacts.org/images/products/503/513/921/8205/front_fr.4.400.jpg,Produce (Fresh/Frozen)
,Coke trays,5449000000996,,Drinks
,Cooked Okpa,,,Flour & Starches
,Corn,,,Uncategorized
,Corn Flour,,https://duudafricanfoods.com/shop/corn-flour/,Flour & Starches
Grace,Corned beef,5035139205090,https://images.openfoodfacts.org/images/products/503/513/920/5090/front_fr.3.400.jpg,Meat/Seafood & Poultry
Golden Penny,Couscous – Golden Penny,6156000033563,,Uncategorized
,Cow Peas (Foifoi) 1kg,,,Beans & Legumes
,Crayfish,,,Spices/Condiments/Seasonings
,Creme of Nature Argan Oil Intensive Conditioning Treatment 354 ml,,,Hair & Beauty Products
,Creme of Nature Argan Oil Moisture & Shine Shampoo 354ml,,,Hair & Beauty Products
,Croaker Fish 1kg,,,Meat/Seafood & Poultry
,Crunchy Coconut Peanut,,,Snacks & Confectionery
Tropical Sun,Crunchy coconut peanuts,5029788160664,https://images.openfoodfacts.org/images/products/502/978/816/0664/front_en.17.400.jpg,Produce (Fresh/Frozen)
Grace,Crème De Coco Grace,5035139217895,,Uncategorized
,Crème Of Nature,,,Uncategorized
,Crème of Nature Exotic Shine Hair Colour,,,Hair & Beauty Products
Knorr,Cube,8711200355020,,Uncategorized
Maggi,Cube 400g,6171100031790,,Uncategorized
,Cut Chicken,,,Meat/Seafood & Poultry
,Cut Hake Fish,,,Meat/Seafood & Poultry
,D/L Beautiful Beg. 2-in-1 Easy Peasy Shampoo 250 ml,,,Hair & Beauty Products
,D/L Beautiful Beg. Cuddling Oil Moisturiser 250ml,,,Hair & Beauty Products
,Dark & Lovely Fade Resist Hair Colour,,,Hair & Beauty Products
,Dark & Lovely Moisture Plus Relaxer Kit,,,Hair & Beauty Products
,Dark and Lovely 2-in-1 Easy Shampoo 250ml,,,Hair & Beauty Products
,Dark and Lovely Beautiful Beginnings Scalp Care Relaxer (Fine Hair),,,Hair & Beauty Products
,Dark and Lovely Beautiful Beginnings Scalp Care Relaxer (Normal Hair),,,Hair & Beauty Products
,Dark and Lovely Superior Moisture Relaxer Kit,,,Hair & Beauty Products
,Dax Bees Wax 397g,,,Hair & Beauty Products
,DAX Green and Gold 99g,,,Hair & Beauty Products
,Dax Kocatah (Black) 14 oz,,,Hair & Beauty Products
,DAX Kocatah 397g,,,Hair & Beauty Products
,Dax Lanolin Yellow 14 oz,,,Hair & Beauty Products
,DAX Short and Neat 99g,,,Hair & Beauty Products
,Dax Vegetable Oil Shampoo 12 oz,,,Hair & Beauty Products
,Dax Vegetable Pomade Green 14 oz,,,Hair & Beauty Products
,De Rica Tomato Paste,,https://duudafricanfoods.com/wp-content/uploads/2021/11/derica-tin-tomatoe-paste-470x269-1.jpg,Uncategorized
,De Vina Sparkling Wine 75cl,,,Drinks
Caribbean Dreams,Detox Herbal Tea,0749650502020;749650502020,,Uncategorized
,Dettol Original Anti-Bacterial Soap,,,Toiletries & Personal Care
,Devina Red Grape Small Bottle (6),,,Drinks
,Divina Olive Pomace Oil 5 litres,,,Hair & Beauty Products
Grace,Dried Mango,0716221050068,https://images.openfoodfacts.org/images/products/071/622/105/0068/front_fr.3.400.jpg,Uncategorized
Dunn's River,Dunn's River Coconut Milk,5012389005014,https://images.openfoodfacts.org/images/products/501/238/900/5014/front_en.26.400.jpg,Produce (Fresh/Frozen)
Dunn's River,Dunn's River Jerk Seasoning,5012389670083,https://images.openfoodfacts.org/images/products/501/238/967/0083/front_en.5.400.jpg,Spices/Condiments/Seasonings
Duud Africa,Duud Africa Blended Okpa Flour 1 kg,,,Flour & Starches
Duud Africa,Duud Africa Blended Wheat 2 kg,,,Flour & Starches
,Duud Africa Blended Wheat – 2KG,,https://duudafricanfoods.com/shop/blended-wheat/,Flour & Starches
,Duud African Blended Ginger 220grms,,,Uncategorized
,Duud African Blended Okpa Flour 1kg,,https://duudafricanfoods.com/wp-content/uploads/2021/11/WBIS21-800x800.jpg,Flour & Starches
,Duud African Chi Chi,,,Uncategorized
,Duud African Ghana Garri,,https://duudafricanfoods.com/wp-content/uploads/2024/02/Untitled-design-12-800x800.png,Flour & Starches
,Duud African Ijebu Garri,,https://duudafricanfoods.com/shop/duud-african-ijebu-garri/,Flour & Starches
,Duud African Oloyin Beans,,,Beans & Legumes
,Duud African Pure Honey,,,Uncategorized
