brand,product_name,barcode,image_url,category
,Yam Flour – Elubo 3kg,,,Flour & Starches
Tropical Sun,Алое Вера с аромат на Нар,8712857007706,https://images.openfoodfacts.org/images/products/871/285/700/7706/front_bg.37.400.jpg,Uncategorized
Africa's Finest,Achi,5029788169421,https://africasfinestfoods.com/cdn/shop/products/AfricasFinestAchi80g_2048x2048.jpg?v=1643122292,Spices/Condiments/Seasonings
Africa's Finest,Bitter Leaf,,https://africasfinestfoods.com/cdn/shop/products/AfricasFinestBitterLeaf25g_2048x2048.jpg?v=1643122325,Uncategorized
Africa's Finest,Bonga Fillet,,https://africasfinestfoods.com/cdn/shop/products/AfricasFinestBongaFillet100g_2048x2048.jpg?v=1643110990,Meat/Seafood & Poultry
Africa's Finest,Chin Chin Bucket,,https://africasfinestfoods.com/cdn/shop/products/Africas_Finest_Chin_Chin_250g_2048x2048.jpg?v=1643120335,Snacks & Confectionery
Africa's Finest,Chin Chin Packet,,,Snacks & Confectionery
Africa's Finest,Coconut Chin Chin Bucket,,,Snacks & Confectionery
Africa's Finest,Coconut Chin Chin Packet,,,Snacks & Confectionery
Africa's Finest,Dried Anchovies,,,Meat/Seafood & Poultry
Africa's Finest,Dried Salted Anchovies (Headless),,,Meat/Seafood & Poultry
Africa's Finest,Dried Salted Anchovies (Raw),,,Meat/Seafood & Poultry
Africa's Finest,Dried Shrimp,,,Meat/Seafood & Poultry
Africa's Finest,Efo Seasoning,,,Spices/Condiments/Seasonings
Africa's Finest,Farina,,,Flour & Starches
Africa's Finest,Gari,,,Flour & Starches
Africa's Finest,Ground Crayfish,,,Meat/Seafood & Poultry
Africa's Finest,Ground Ogbono,,,Spices/Condiments/Seasonings
Africa's Finest,Ground Prawns,,,Meat/Seafood & Poultry
Africa's Finest,Ground Smoked Fish,,https://africasfinestfoods.com/cdn/shop/products/AfricasFinestFoodsGroundSmokedFish_2048x2048.jpg?v=1642685178,Meat/Seafood & Poultry
Africa's Finest,Ground Stockfish,,,Meat/Seafood & Poultry
Africa's Finest,Grounded Okra,,,Spices/Condiments/Seasonings
Africa's Finest,Herring Fillet,,https://africasfinestfoods.com/cdn/shop/products/AfricasFinestFoodsHerringFillet_2048x2048.jpg?v=1642685390,Meat/Seafood & Poultry
Africa's Finest,Honey Beans,,,Beans & Legumes
Africa's Finest,Hot Pepper (Grounded),,,Spices/Condiments/Seasonings
Africa's Finest,Hot Pepper (Whole),,,Spices/Condiments/Seasonings
Africa's Finest,Hot Shito,,,Spices/Condiments/Seasonings
Africa's Finest,Jollof Cooking Sauce,,,Spices/Condiments/Seasonings
Africa's Finest,Jollof Seasoning,,,Spices/Condiments/Seasonings
Africa's Finest,Lagos Chilli Pepper,,,Spices/Condiments/Seasonings
Africa's Finest,Mash Potato,,,Flour & Starches
Africa's Finest,Mild Shito,5029788176740,,Spices/Condiments/Seasonings
Africa's Finest,Obe Ata,,,Spices/Condiments/Seasonings
Africa's Finest,Okazi Leaves,,,Uncategorized
Africa's Finest,Palmnut Soup,5029788153734,,Spices/Condiments/Seasonings
Africa's Finest,Pea Aubergine,,,Uncategorized
Africa's Finest,Peanut Butter - No Added Sugar,5029788164655,,Snacks & Confectionery
Africa's Finest,Peanut Chin Chin Bucket,,,Snacks & Confectionery
Africa's Finest,Pepper Soup Mix,,,Spices/Condiments/Seasonings
Africa's Finest,Plantain Fufu,,,Flour & Starches
Africa's Finest,Poundo Iyan,,,Flour & Starches
Africa's Finest,Pure Palm Oil,,,Uncategorized
Africa's Finest,Pure Zomi Oil,,,Uncategorized
Africa's Finest,Roasted Peanuts,,,Snacks & Confectionery
Africa's Finest,Semolina Coarse,,,Flour & Starches
Africa's Finest,Smoked Barracuda Fillet,,,Meat/Seafood & Poultry
Africa's Finest,Smoked Catfish Fillet,,,Meat/Seafood & Poultry
Africa's Finest,Smoked Tilapia Fillet,,,Meat/Seafood & Poultry
Africa's Finest,Smooth Peanut Butter,5029788204184,,Snacks & Confectionery
Africa's Finest,Sorrel Zobo,,,Uncategorized
Africa's Finest,Stockfish Cod,,,Meat/Seafood & Poultry
Africa's Finest,Stockfish Fillet,,,Meat/Seafood & Poultry
Africa's Finest,Stockfish Tusk,,,Meat/Seafood & Poultry
Africa's Finest,Suya Mixed,,,Spices/Condiments/Seasonings
Africa's Finest,Suya Seasoning,,,Spices/Condiments/Seasonings
Africa's Finest,Uziza,,,Spices/Condiments/Seasonings
Africa's Finest,Whole Crayfish,,https://africasfinestfoods.com/cdn/shop/products/AfricasFinestFoodsWholeCrayfish_2048x2048.jpg?v=1642685423,Meat/Seafood & Poultry
Africa's Finest,Whole Egusi,5029788170328,https://africasfinestfoods.com/cdn/shop/products/AfricasFinestFoodsWholeEgusi_2048x2048.jpg?v=1642685465,Spices/Condiments/Seasonings
Africa's Finest,Whole Ogbono,5029788169940,,Spices/Condiments/Seasonings
Africa's Finest,Whole Smoked Prawns,,,Meat/Seafood & Poultry
Pluvera,Whole hens,,https://www.pluvera.info/app/uploads/2016/09/plankje_kleine_kip_lr.jpg,Meat/Seafood & Poultry
Pluvera,Smoked hens,,https://www.pluvera.info/app/uploads/2016/08/gerookte_soepkip_los_lr.jpg,Meat/Seafood & Poultry
Pluvera,Young Cockerel,,https://www.pluvera.info/app/uploads/2022/07/IMG_0029-lr.jpg,Meat/Seafood & Poultry
Pluvera,Special cut,,,Meat/Seafood & Poultry
Pluvera,Hen breasts,,https://www.pluvera.info/app/uploads/2016/09/plankje_halveborst_lr.jpg,Meat/Seafood & Poultry
Pluvera,Hen leg quarters,,https://www.pluvera.info/app/uploads/2016/09/plankje_quart_ariere_lr.jpg,Meat/Seafood & Poultry
Pluvera,Hen leg quarters cut in pieces,,,Meat/Seafood & Poultry
Pluvera,Hen wings,,https://www.pluvera.info/app/uploads/2016/09/plankje_vleugels_lr.jpg,Meat/Seafood & Poultry
Pluvera,Hen gizzards,,,Meat/Seafood & Poultry
Pluvera,Hen feet,,https://www.pluvera.info/app/uploads/2016/09/plankje_poten_lr.jpg,Meat/Seafood & Poultry
Pluvera,Hen combs,,,Meat/Seafood & Poultry
Pluvera,Osso Soso,,,Meat/Seafood & Poultry
Pluvera,Hen breast fillet,,,Meat/Seafood & Poultry
Pluvera,Automatically Deboned Hen Breast Meat,,,Meat/Seafood & Poultry
Pluvera,Mechanically separated hen meat,,,Meat/Seafood & Poultry
Pluvera,Hen leg quarters,,https://www.pluvera.info/app/uploads/2016/09/plankje_quart_ariere_lr.jpg,Meat/Seafood & Poultry
Pluvera,Hen wings,,https://www.pluvera.info/app/uploads/2016/09/plankje_vleugels_lr.jpg,Meat/Seafood & Poultry
Pluvera,Hen gizzards,,,Meat/Seafood & Poultry
Pluvera,Hen feet,,https://www.pluvera.info/app/uploads/2016/09/plankje_poten_lr.jpg,Meat/Seafood & Poultry
Pluvera,Hen combs,,,Meat/Seafood & Poultry
